Author,Book,Name,Difficulty,Status
Prokofiev,For Children Op.65,No.3 A Short Story,4,done
Prokofiev,For Children Op.65,No.5 Regret,5,done
Mussorgsky,,Une Larme,5,done
Schumann,For Children Op.68,No.19 Kleine Romanze ,4,dropped
Bloch,Enfantines,No.6 Melody,5,y
Bloch,Enfantines,No.8 Rainy Day,-,y
Granados,Essentail Keyboard Repetoire 5,"The Orphan Girl, Op.1 No.9",5,done
Alkan,,Barcarolle,8,done
Lizst,,La Cloche Sonne,3,done
Schumann,"Kinderszenen, op. 15",From Foreign Lands and People,5,done
Beethoven,WOO 54,Lustig und Traurig,4,done
Chopin,An Introduction,Waltz in B Minor,7,y
Shostakovich,,Sentimental Waltz,-,done
2022,,,,
Grieg,Lyric Pieces,Arietta,5,done
Prokofiev,For Children Op.65,No.8 The Rain and the Rainbow,6,done
Prokofiev,For Children Op.65,No.10 Moonlit Meadows,6,done
Ginastera,,Op.3 Milonga,6,done
Schubert,"Valses sentimentales, op. 50, D 779",Sentimental Waltz No. 13,5,done
Donizetti,,Una Furtiva Lagrima,-,done
Bloch,Enfantines,No.10 Dreams,5,done
Chopin,An Introduction,Prelude in E Minor,5,done
Sibelius,,Valsette Op.40 No.1,5,done
Granados,Valse Poeticos,No.6. Quasi ad libitum,6,done
Granados,Valse Poeticos,No.3. Tempo de Valse lente,5,done
2023,,,,
Smetana,Op.2 No.2,Song,6,y
Chopin,,Nocturne in E Minor Op.72 No.1,8,y
Schumann,For Children Op.68,Mignon,5,done
Ibert,RCM Repetoir 7,Serenade Leau,5,y
Glinka,,Mazurka in C Minor,5,y
Grieg,Lyric Pieces,Folk Song,5,dropped
2024,,,,
Guastavino,,Santa Fe Para Llorar,-,dropped
Granados,,Spanish Dance No. 2 (Oriental) ,8,done
Mendelssohn,Selected Songs without Words,Op 19 No 2,6,dropped
Liszt,,Wisona,,done
Bach,Two Part Inventions,No.6,5,done
Lizst,,Romance S.169,7,done
Franck,Romantics Sketchbook IV,Danse Lente,5,done
Sibelius,Piano Minimatures,Impromptu Op.5 No.6,7,y
2025,,,,
Rimsky-Korsakov,,Little Song,-,y
Glinka,,Nocturne in F Minor,6,4
Bach,Two Part Inventions,No.7 in E Minor BWV 778,5,2
,,,,
Albeniz,51 Piano Pieces from the Modern Repertoire,Tango Op.165 No.2,7,2
Albeniz,,Barcarolle Op.23,8,6
Albeniz,,Prelude Op.165 No.1,6,3
Albeniz,Anthology of Romantic Piano Music,"Suite española No. 1, Op. 47: Granada (Serenata)",10,
Babajanyan,,Elegie in Memory of Khachaturian,,5
Bach,Little Preludes,BWV 926,5,2
Bach,,BWV 812 Sarabande,6,1
Bach,,"Prelude and Fugue in A Minor, BWV 895",7,
Bartok,,Evening in the Country,5,2
Beach,,Arctic Nights,5,2
Beethoven,Bagatelles,Bagatelle Op.119 No.1,5,3
Borodin,,Nocturne,7,3
Brahms,Barenriter album,Albumblatt,7,2
Brahms,,Waltz No.15 in A-flat major,6,2
Brahms,,Busoni Six Choral Op.122 No.10,,
Cervantes,,Adios a Cuba,,2
Cervantes,,Illusiones Perdidas,,
Chopin,,Mazurka in Op.33 No.1,7,2
Chopin,,Mazurka in C# Minor Op.63 No.3,8,2
Chopin,,Trois Nouvelles Etudes No.1,9,3
Coleridge-Taylor,,Op.59 No.4,,
Debussy,51 Piano Pieces from the Modern Repertoire,Reverie,8,3
Elgar,,Salut d'Amour,7,4
Falla,,Cancion,7,3
Falla,51 Piano Pieces from the Modern Repertoire,Serenata Andaluza,7,4
Falla,,Nocturno,10,5
Faure,Album of Piano Pieces,"Romance sans paroles, op. 17, no. 3",7,3
Faure,Album of Piano Pieces,Improvisation Op.84 No.5,7,2
Fibich,,Poem Op.41 No.139,7,1
Field,Anthology of Romantic Piano Music,Nocturne No 5,7,4
Ginastera,,Danza de la moza donosa ,8,3
Gliere,Romantics Sketchbook IV,Prelude Op 43 No 1,6,2
Granados,Cuentos de Juventue,Cancion de Mayo,9,3
Granados,,Danza Espanola No.5,8,4
Grieg,Lyric Pieces,Album Leaf,6,2
Grieg,Lyric Pieces,Solitary Traveller,6,2
Grieg,,Solveig's Song,6,3
Grieg,Lyric Pieces,Op. 68 No. 4: Evening in the Mountains,5,2
Handel,Suite in D Minor,HWV 437,7,5
Handel,Barenriter album,HWV 581,7,2
Lecuona,,Cordorba,,
Liszt,,Consolation No.3,8,3
Liszt,,Nuages Gris,9,2
Lizst,,"En Reve Nocturne, S.207",7,2
Mendelssohn,Songs without Words,Op.102 No.4,7,4
Mendelssohn,,Op.53 No.4,6,2
Mendelssohn,,Barcarolle in A Major,7,2
Mompou,,Cancion y Danza No.6,9,3
Mompou,Key to Artistic Performance 3,La Fuente y La Campana,,3
Mompou,Impresiones íntimas,No.5 Pajaro Triste,5,3
Mompou,Impresiones íntimas,No.6. La barca,5,3
Mompou,,Suburbis - 2. Gitana I,7,3
Mompou,Impresiones íntimas,No.7 Cuna,,
Mozart,,Rondo in A Minor K.511,9,10
Mussorgsky,,Meditation,7,3
Piazzolla,,Milonga del ángel,8,2
Ponce,,Intermezzo,8,2
Poulenc,Anthology of 20C Piano Music,Trois Mouvements Perpétuels No. 1,7,2
Rachmaninoff,51 Piano Pieces from the Modern Repertoire,Elegy,9,7
Rachmaninoff,,Op.39 No.2,10,7
Ramos,,Milonga Surena No.5,,5
Scarlatti,,Sonata in A minor K.149,6,2
Scarlatti,,Sonata in A major K. 208,6,2
Scarlatti,,"Sonata in F Minor, K 185",7,2
Scarlatti,,Sonata in B minor K. 87,7,2
Scarlatti,,Sonata in D minor K. 9,6,3
Scarlatti,,"Sonata in F-Sharp minor, K 25",,
Schubert,Barenriter album,Allegretto in C minor D915,6,2
Schubert,Barenriter album,Hungarian Melody D 817,7,
Schumann,Op. 82 No. 3,Einsame Blumen,6,2
Schumann,Op 118 No 1 II,Theme with variations,,
Schumann,Op. 68. No. 39,Wintertime II,5,4
Schumann,Fantasiestücke Op.12 No. 1,Des Abends,8,4
Schumann,Fantasiestücke Op.12 No. 3,Warum?,7,
Scriabin,,Etude in D# Minor Op.8 No.12,10,5
Sibelius,,The Spruce,6,3
Sibelius,,"Op. 24: Barcarola, No. 10",,6
Smetana,,Pensee Fugitive in D Minor JB 1:24,,
Szymanowski ,,Op.1 No.1,,
Tchaikovsky,The Seasons,March,7,2
Tchaikovsky,Op. 51 No. 6,Valse Sentimentale,8,5
Tchaikovsky,The Seasons,October,9,5
Tchaikovsky,Op. 40 No. 9,Valse in F-Sharp Minor,7,6